obsID date lat lon SID SIDstd SIDln SIDunc wSD wrho ppflag uncflag QFT QFS
ULS_Taymyr_1415 2014-11-20T00:00:00 77.47 116.46 0.855 0.205 19.0 0.011 13.643 270 0 2 0 0
ULS_Taymyr_1415 2014-12-15T00:00:00 77.47 116.46 1.203 0.322 31.0 0.009 19.255 295 0 2 0 0
ULS_Taymyr_1415 2015-01-15T00:00:00 77.47 116.46 1.283 0.242 31.0 0.009 24.214 275 0 2 0 0
ULS_Taymyr_1415 2015-02-13T00:00:00 77.47 116.46 1.175 0.297 27.0 0.01 25.112 273 0 2 0 0
ULS_Taymyr_1415 2015-03-15T00:00:00 77.47 116.46 1.048 0.345 31.0 0.009 25.267 295 0 2 0 0
ULS_Taymyr_1415 2015-04-14T12:00:00 77.47 116.46 1.269 0.255 30.0 0.009 20.463 264 0 2 0 0
ULS_Taymyr_1415 2015-05-15T00:00:00 77.47 116.46 1.111 0.166 31.0 0.009 27.773 301 0 2 0 0
ULS_Taymyr_1415 2015-06-10T12:00:00 77.47 116.46 0.94 0.202 20.0 0.011 15.922 286 0 2 0 0
ULS_Taymyr_1415 2015-06-24T00:00:00 77.47 116.46 0.998 0.0 1.0 0.05 15.922 286 0 2 3 3
Khatanga-09 2009-11-15T00:00:00 74.72 125.28 0.921 0.203 29.0 0.178 16.867 232 0 2 0 0
Khatanga-09 2009-12-15T00:00:00 74.72 125.28 1.334 0.233 31.0 0.172 23.223 279 0 2 0 0
Khatanga-09 2010-01-15T00:00:00 74.72 125.28 1.488 0.354 31.0 0.172 28.332 267 0 2 0 0
Khatanga-09 2010-02-13T12:00:00 74.72 125.28 1.997 0.761 28.0 0.181 25.176 249 0 2 0 0
Khatanga-09 2010-03-15T00:00:00 74.72 125.28 2.507 0.578 31.0 0.172 22.386 266 0 2 0 0
Khatanga-09 2010-04-14T12:00:00 74.72 125.28 2.423 0.633 30.0 0.175 15.62 234 0 2 0 0
Khatanga-09 2010-05-10T12:00:00 74.72 125.28 2.578 0.698 22.0 0.205 29.764 307 0 2 0 0
Khatanga-09 2010-06-09T00:00:00 74.72 125.28 0.783 0.112 13.0 0.266 15.608 289 0 2 1 3
Khatanga-09 2010-07-11T00:00:00 74.72 125.28 0.74 0.051 11.0 0.289 nan 356 0 2 1 3
Khatanga-09 2010-08-08T00:00:00 74.72 125.28 0.733 0.076 13.0 0.266 1.577 290 0 2 1 3
Khatanga-09 2010-08-29T00:00:00 74.72 125.28 0.76 0.0 1.0 0.96 1.577 290 0 2 3 3
Khatanga-07 2007-10-26T00:00:00 74.72 125.29 0.594 0.113 9.0 0.32 5.792 253 0 2 1 3
Khatanga-07 2007-11-14T12:00:00 74.72 125.29 1.027 0.299 30.0 0.175 16.871 232 0 2 0 0
Khatanga-07 2007-12-15T00:00:00 74.72 125.29 1.521 0.275 31.0 0.172 23.225 279 0 2 0 0
Khatanga-07 2008-01-15T00:00:00 74.72 125.29 1.11 0.558 31.0 0.172 28.333 267 0 2 0 0
Khatanga-07 2008-02-14T00:00:00 74.72 125.29 1.549 0.408 29.0 0.178 25.177 249 0 2 0 0
Khatanga-07 2008-03-15T00:00:00 74.72 125.29 1.758 0.432 31.0 0.172 22.386 266 0 2 0 0
Khatanga-07 2008-04-14T12:00:00 74.72 125.29 2.173 0.291 30.0 0.175 15.621 234 0 2 0 0
Khatanga-07 2008-05-15T00:00:00 74.72 125.29 2.708 0.531 31.0 0.172 29.767 307 0 2 0 0
Khatanga-07 2008-06-14T12:00:00 74.72 125.29 2.372 0.355 30.0 0.175 15.611 289 0 2 0 0
Khatanga-07 2008-07-09T00:00:00 74.72 125.29 1.539 0.653 19.0 0.22 nan 356 0 2 0 0
Khatanga-07 2008-08-14T00:00:00 74.72 125.29 0.593 0.039 9.0 0.32 1.578 290 0 2 1 3
Vilk1-14 2014-12-21T00:00:00 77.67 111.23 0.43 0.138 17.0 0.233 17.391 300 0 2 0 0
Vilk1-14 2015-01-18T00:00:00 77.67 111.23 0.62 0.355 24.0 0.196 22.922 272 0 2 0 0
Vilk1-14 2015-02-11T00:00:00 77.67 111.23 0.696 0.416 23.0 0.2 24.853 275 0 2 0 0
Vilk1-14 2015-03-20T00:00:00 77.67 111.23 0.64 0.206 19.0 0.22 25.79 300 0 2 0 0
Vilk1-14 2015-04-14T12:00:00 77.67 111.23 0.749 0.349 30.0 0.175 20.667 260 0 2 0 0
Vilk1-14 2015-05-15T00:00:00 77.67 111.23 0.785 0.287 31.0 0.172 26.439 297 0 2 0 0
Vilk1-14 2015-06-03T12:00:00 77.67 111.23 0.848 0.22 8.0 0.339 14.58 272 0 2 1 3
Vilk1-14 2015-07-13T00:00:00 77.67 111.23 0.493 0.088 7.0 0.363 nan 370 0 2 1 3
Vilk1-14 2015-08-05T12:00:00 77.67 111.23 0.294 0.162 4.0 0.48 nan 128 0 2 2 3
Vilk1-14 2015-08-15T00:00:00 77.67 111.23 0.383 0.0 1.0 0.96 nan 128 0 2 3 3
Vilk1-14 2015-09-06T00:00:00 77.67 111.23 0.254 0.0 1.0 0.96 nan 181 0 2 3 3
Vilk1-14 2015-11-07T00:00:00 77.67 111.23 0.996 1.293 2.0 0.679 11.739 280 0 2 2 3
Vilk1-14 2015-12-08T00:00:00 77.67 111.23 1.037 0.529 17.0 0.233 17.391 300 0 2 0 0
Vilk1-14 2016-01-16T00:00:00 77.67 111.23 1.861 0.742 21.0 0.209 22.922 272 0 2 0 0
Vilk1-14 2016-02-14T12:00:00 77.67 111.23 0.958 0.624 28.0 0.181 24.853 275 0 2 0 0
Vilk1-14 2016-03-15T00:00:00 77.67 111.23 0.778 0.357 29.0 0.178 25.79 300 0 2 0 0
Vilk1-14 2016-04-14T12:00:00 77.67 111.23 0.759 0.392 30.0 0.175 20.667 260 0 2 0 0
Vilk1-14 2016-05-15T00:00:00 77.67 111.23 1.303 0.437 31.0 0.172 26.439 297 0 2 0 0
Vilk1-14 2016-06-09T12:00:00 77.67 111.23 1.509 0.662 20.0 0.215 14.58 272 0 2 0 0
Vilk1-14 2016-07-15T12:00:00 77.67 111.23 1.497 0.477 28.0 0.181 nan 370 0 2 0 0
Vilk1-14 2016-08-02T00:00:00 77.67 111.23 2.096 0.105 5.0 0.429 nan 128 0 2 2 3
Vilk-13 2013-12-28T12:00:00 77.95 113.03 0.574 0.227 4.0 0.48 18.104 299 0 2 2 3
Vilk-13 2014-01-15T00:00:00 77.95 113.03 1.048 0.336 31.0 0.172 23.25 275 0 2 0 0
Vilk-13 2014-02-12T12:00:00 77.95 113.03 1.406 0.317 24.0 0.196 25.037 277 0 2 0 0
Vilk-13 2014-03-15T12:00:00 77.95 113.03 0.615 0.236 26.0 0.188 25.911 301 0 2 0 0
Vilk-13 2014-04-09T12:00:00 77.95 113.03 0.766 0.386 18.0 0.226 21.281 266 0 2 0 0
